PC_NAME,HOUR,CPU_PERCENTAGE,MEMORY,MEMORY_PERCENTAGE 
DESKTOP-O325S3M,19:36:02,3,3971,55
DESKTOP-O325S3M,19:36:05,1,3975,55
DESKTOP-O325S3M,19:36:08,0,3975,55
DESKTOP-O325S3M,19:36:11,0,3975,55
DESKTOP-O325S3M,19:36:14,2,3976,55
DESKTOP-O325S3M,19:36:17,1,3976,55
DESKTOP-O325S3M,19:36:20,6,3976,55
DESKTOP-O325S3M,19:36:23,1,3976,55
DESKTOP-O325S3M,19:36:26,2,3980,55
DESKTOP-O325S3M,19:36:29,0,3980,55
DESKTOP-O325S3M,19:36:32,3,3980,55
DESKTOP-O325S3M,19:36:35,4,3980,55
DESKTOP-O325S3M,19:36:38,1,3980,55
DESKTOP-O325S3M,19:36:41,1,3982,55
DESKTOP-O325S3M,19:36:44,1,3982,55
DESKTOP-O325S3M,19:36:47,2,3981,55
DESKTOP-O325S3M,19:36:50,2,3986,55
DESKTOP-O325S3M,19:36:53,1,3985,55
DESKTOP-O325S3M,19:36:56,1,3985,55
DESKTOP-O325S3M,19:36:59,3,3987,55
DESKTOP-O325S3M,19:37:02,0,3981,55
DESKTOP-O325S3M,19:37:05,4,3981,55
DESKTOP-O325S3M,19:37:08,3,3981,55
DESKTOP-O325S3M,19:37:11,4,3981,55
DESKTOP-O325S3M,19:37:14,3,3983,55
DESKTOP-O325S3M,19:37:17,4,3992,55
DESKTOP-O325S3M,19:37:20,28,4014,55
DESKTOP-O325S3M,19:37:23,4,4012,55
DESKTOP-O325S3M,19:37:26,2,4013,55
DESKTOP-O325S3M,19:37:29,2,4013,55
DESKTOP-O325S3M,19:37:32,1,4014,55
DESKTOP-O325S3M,19:37:35,1,4020,56
DESKTOP-O325S3M,19:37:38,1,4019,56
DESKTOP-O325S3M,19:37:41,0,4018,56
DESKTOP-O325S3M,19:37:44,7,4018,56
DESKTOP-O325S3M,19:37:47,1,4019,56
DESKTOP-O325S3M,19:37:50,3,4019,56
DESKTOP-O325S3M,19:37:53,1,4022,56
DESKTOP-O325S3M,19:37:56,3,4023,56
DESKTOP-O325S3M,19:37:59,2,4023,56
DESKTOP-O325S3M,19:38:02,0,4023,56
DESKTOP-O325S3M,19:38:05,3,4025,56
DESKTOP-O325S3M,19:38:08,2,4025,56
DESKTOP-O325S3M,19:38:11,5,4024,56
DESKTOP-O325S3M,19:38:14,6,4026,56
DESKTOP-O325S3M,19:38:17,3,4026,56
DESKTOP-O325S3M,19:38:20,5,4026,56
DESKTOP-O325S3M,19:38:23,1,4029,56
DESKTOP-O325S3M,19:38:26,1,4028,56
DESKTOP-O325S3M,19:38:29,1,4030,56
DESKTOP-O325S3M,19:38:32,2,4031,56
DESKTOP-O325S3M,19:38:35,3,4032,56
DESKTOP-O325S3M,19:38:38,15,4061,56
DESKTOP-O325S3M,19:38:41,35,4072,56
DESKTOP-O325S3M,19:38:44,1,4073,56
DESKTOP-O325S3M,19:38:47,1,4073,56
DESKTOP-O325S3M,19:38:50,1,4073,56
DESKTOP-O325S3M,19:38:53,2,4073,56
DESKTOP-O325S3M,19:38:56,1,4068,56
DESKTOP-O325S3M,19:38:59,1,4042,56
DESKTOP-O325S3M,19:39:02,1,4042,56
DESKTOP-O325S3M,19:39:05,3,4042,56
DESKTOP-O325S3M,19:39:08,4,4043,56
DESKTOP-O325S3M,19:39:11,3,4045,56
DESKTOP-O325S3M,19:39:14,1,4047,56
DESKTOP-O325S3M,19:39:17,1,4047,56
DESKTOP-O325S3M,19:39:20,6,4047,56
DESKTOP-O325S3M,19:39:23,0,4048,56
DESKTOP-O325S3M,19:39:26,0,4049,56
DESKTOP-O325S3M,19:39:29,2,4050,56
DESKTOP-O325S3M,19:39:32,1,4051,56
DESKTOP-O325S3M,19:39:35,1,4052,56
DESKTOP-O325S3M,19:39:38,5,4052,56
DESKTOP-O325S3M,19:39:41,3,4053,56
DESKTOP-O325S3M,19:39:44,2,4055,56
DESKTOP-O325S3M,19:39:47,1,4055,56
DESKTOP-O325S3M,19:39:50,0,4057,56
DESKTOP-O325S3M,19:39:53,3,4057,56
DESKTOP-O325S3M,19:39:56,3,4057,56
DESKTOP-O325S3M,19:39:59,2,4058,56
DESKTOP-O325S3M,19:40:02,0,4060,56
DESKTOP-O325S3M,19:40:05,2,4060,56
DESKTOP-O325S3M,19:40:08,1,4061,56
DESKTOP-O325S3M,19:40:11,0,4063,56
DESKTOP-O325S3M,19:40:14,1,4063,56
DESKTOP-O325S3M,19:40:17,2,4063,56
DESKTOP-O325S3M,19:40:20,7,4066,56
DESKTOP-O325S3M,19:40:23,2,4066,56
DESKTOP-O325S3M,19:40:26,1,4068,56
DESKTOP-O325S3M,19:40:29,3,4068,56
DESKTOP-O325S3M,19:40:32,0,4068,56
DESKTOP-O325S3M,19:40:35,1,4069,56
DESKTOP-O325S3M,19:40:38,1,4068,56
DESKTOP-O325S3M,19:40:41,3,4068,56
DESKTOP-O325S3M,19:40:44,0,4068,56
DESKTOP-O325S3M,19:40:47,1,4069,56
DESKTOP-O325S3M,19:40:50,0,4070,56
DESKTOP-O325S3M,19:40:53,3,4070,56
DESKTOP-O325S3M,19:40:56,28,4073,56
DESKTOP-O325S3M,19:40:59,0,4073,56
DESKTOP-O325S3M,19:41:02,1,4074,56
DESKTOP-O325S3M,19:41:05,1,4074,56
DESKTOP-O325S3M,19:41:08,4,4076,56
DESKTOP-O325S3M,19:41:11,0,4076,56
DESKTOP-O325S3M,19:41:14,3,4078,56
DESKTOP-O325S3M,19:41:17,1,4078,56
DESKTOP-O325S3M,19:41:20,4,4082,56
DESKTOP-O325S3M,19:41:23,5,4081,56
DESKTOP-O325S3M,19:41:26,1,4081,56
DESKTOP-O325S3M,19:41:29,3,4081,56
DESKTOP-O325S3M,19:41:32,5,4083,56
DESKTOP-O325S3M,19:41:35,5,4083,56
DESKTOP-O325S3M,19:41:38,4,4083,56
DESKTOP-O325S3M,19:41:41,2,4085,56
DESKTOP-O325S3M,19:41:44,2,4085,56
DESKTOP-O325S3M,19:41:47,0,4085,56
DESKTOP-O325S3M,19:41:50,5,4087,57
DESKTOP-O325S3M,19:41:53,1,4087,57
DESKTOP-O325S3M,19:41:56,5,4087,57
DESKTOP-O325S3M,19:41:59,3,4091,57
DESKTOP-O325S3M,19:42:02,8,4088,57
DESKTOP-O325S3M,19:42:05,0,4088,57
DESKTOP-O325S3M,19:42:08,3,4088,57
DESKTOP-O325S3M,19:42:11,1,4088,57
DESKTOP-O325S3M,19:42:14,3,4088,57
DESKTOP-O325S3M,19:42:17,3,4088,57
DESKTOP-O325S3M,19:42:20,9,4090,57
DESKTOP-O325S3M,19:42:23,4,4090,57
DESKTOP-O325S3M,19:42:26,2,4090,57
DESKTOP-O325S3M,19:42:29,1,4091,57
DESKTOP-O325S3M,19:42:32,1,4091,57
DESKTOP-O325S3M,19:42:35,0,4091,57
DESKTOP-O325S3M,19:42:38,1,4092,57
DESKTOP-O325S3M,19:42:41,3,4092,57
DESKTOP-O325S3M,19:42:44,3,4092,57
DESKTOP-O325S3M,19:42:47,2,4092,57
DESKTOP-O325S3M,19:42:50,0,4093,57
